title,address,description,price,date,seller,image
11 bedroom detached house for sale,"Hamilton Terrace, St John's Wood, London, NW8","This imposing house in Hamilton Terrace has been built to the highest of specifications, and interior designed by Bill Bennette to offer a glamorous, contemporary space, ideal for entertaining and stylish family living. There is a gated driveway with parking for two cars at the front a...","£27,500,000",03/09/2019,"Aston Chase, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84235/73890214/84235_RGS190249_IMG_01_0000_max_476x317.jpg
House for sale,Princes Gate,"Over 9000sqft, meticulously renovated landmark house bordering Knightsbridge & South Kensington.","£27,000,000",20/02/2020,"Nest Seekers International , London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/193k/192446/89624204/192446_NEST_RM_192446_1311024_IMG_01_0000_max_476x317.jpg
4 bedroom house for sale,"Stratford Place, Marylebone","A superlative Grade II listed four bedroom, four bathroom townhouse, with lift, magnificently situated on a quiet cul-de-sac moments from Oxford Street, Bond Street and the world class amenities of Mayfair.",POA,15/11/2019,"The Cloister, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/94228448/51305_5481_IMG_01_0000_max_476x317.jpeg
8 bedroom house for sale,"Knightsbridge, Knightsbridge","A handsome eight bedroom, four reception room Grade II listed stucco fronted house of magnificent proportion with lift and roof terrace, prestigiously situated in Knightsbridge.","£27,000,000",02/03/2020,"The Cloister, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/94222280/51305_750_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"Rotherhithe Street, London SE16","A modern one bedroom, ground floor apartment with a spacious living room and a separate kitchen/diner, well presented throughout and conveniently located within close distance to Canada Water tube station together with the transport links and abundance of amenities in Surrey Quays. The TFL Riverb...","£450,000",10/08/2020,"ludlowthompson, Canada Water",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63765/83299363/63765_2667384_IMG_01_0000_max_476x317.jpg
5 bedroom flat for sale,"One Kensington Gardens, Kensington Road, London W8",An exclusive five bedroom apartment overlooking Kensington Palace Gardens. ,"£26,000,000",07/10/2019,"Strutt & Parker, London - New Homes",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96919/65597634/96919_LNW190086_IMG_01_0000_max_476x317.jpg
5 bedroom terraced house for sale,"Park Street, London, W1K","An exceptional 5 bedroom Mayfair Townhouse Arranged over 6 floors and situated within a prime Mayfair location, this mansion house offers a grande entrance hall, separate catering kitchen, staff quarters and access to the private Green Street Gardens. EPC: D. This spacious 5 bedroom town ho...","£25,900,000",07/09/2018,"Knight Frank, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/75447035/65815_POD180323_IMG_01_0001_max_476x317.jpg
6 bedroom detached house for sale,"Hamilton Terrace, St John's Wood, London, NW8","A 6 bedroom Georgian house for sale in St Johns Wood, NW8 A magnificent 12,435 sq ft Georgian house built circa 1850 that has been the subject of a major renovation behind the period façade. EPC D. An elegant period, detached, freehold house, refurbished and remodelled to the highest of sta...","£25,000,000",13/07/2018,"Knight Frank, St John's Wood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65830/73393096/65830_SJW120142_IMG_01_0000_max_476x317.jpg
9 bedroom detached house for sale,"Holland Park, Holland Park, London, W11",An exceptional freehold redevelopment opportunity located on one of London’s most prestigious streets.,POA,05/03/2020,"Savills, Notting Hill",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89770/77967130/89770_NOH190047_IMG_01_0000_max_476x317.jpg
8 bedroom detached house for sale,"Avenue Road, NW8","'A very rare Freehold mansion, nestled in a double-width garden, available for sale for the first time in 60 years.' We are privileged to introduce this unique property, which offers the fortunate buyer a rare combination of privacy and grand living, in one of London's most sophisticated...","£25,000,000",29/01/2020,"Glentree Estates Ltd, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/191k/190037/67945350/190037_28618841_IMG_01_0000_max_476x317.jpg
5 bedroom terraced house for sale,"Park Place, St James's, London, SW1A","An immaculate town house located in the heart of St James’s, which seamlessly blends contemporary design, luxurious materials and unique charm, all set behind a striking black brick façade.","£25,000,000",10/06/2019,"Savills, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49602/83477891/49602_MAS170108_IMG_06_0000_max_476x317.jpg
5 bedroom terraced house for sale,"The Grande House, St James's, London, SW1A","An exceptional and unique 5/6 bedroom town house for sale in St James's SW1 The Grande House, 12 Park Place is an immaculate new build town house located in the heart of St James's, which seamlessly blends contemporary design, luxurious materials and unique charm, all set behind a striking black...","£25,000,000",10/06/2019,"Knight Frank, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/76006889/65815_WER160027_IMG_01_0003_max_476x317.jpg
6 bedroom detached house for sale,"Hamilton Terrace, St John's Wood, London NW8","An elegant period, detached, freehold house, refurbished and remodelled to the highest of standards, incorporating generous bedroom suites, luxurious entertaining spaces and magnificent lower ground level leisure facilities with swimming pool, bar area, gymnasium, Jacuzzi, sauna and home cinema. ...","£25,000,000",25/06/2019,"Ian Green Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73947/79100050/73947_28886638_IMG_01_0000_max_476x317.jpg
5 bedroom detached house for sale,"Hamilton Terrace, St Johns Wood, London, NW8",A magnificent Georgian detached family home situated on this prestigious tree lined boulevard.,"£25,000,000",02/08/2019,"Savills, St John's Wood & Regent's Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78202/64130025/78202_STS150012_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Addison Road, Holland Park, London, W14","A stunning Holland Park family home with a large garden & parking Rebuilt approximately six years ago to the highest standard, this is an exceptional property with great lateral space, large garden and off street parking. The house has excellent entertaining space which includes a cinema room an...","£25,000,000",22/11/2019,"Knight Frank, Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65809/86869814/65809_KEN190147_IMG_01_0002_max_476x317.jpg
3 bedroom apartment for sale,"One Hyde Park, Knightsbridge",This truly exceptional apartment located in the most sought after location is now available. The grand property boasts magnificent views of both Knightsbridge and Hyde Park. One Hyde Park is offering luxury London living at it's absolute finest.,"£25,000,000",18/09/2019,"The Cloister, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/94223705/51305_5394_IMG_01_0000_max_476x317.jpg
7 bedroom semi-detached house for sale,"Bedford Gardens, Kensington, London, W8","A beautifully presented period listed house, semi-detached and refurbished to an exceptionally high standard and located on one of Kensington’s most sought after roads. The house is set back from the street behind electric gates and a deep front garden and has the benefit of gene...","£25,000,000",13/02/2020,"Aylesford International, Chelsea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42848/89384909/42848_CHE190002_IMG_01_0001_max_476x317.jpg
8 bedroom house for sale,"Cornwall Terrace, London, NW1","Located on the south-west corner of Regent's Park on Cornwall Terrace, Silk House presents a magnificent Grade I listed home with stunning views over Regent's Park. This impressive six bedroom home has been meticulously restored to the specification of the Crown Estate and English Heritage and...","£25,000,000",09/01/2020,"Beauchamp Estates Ltd, Mayfair - Resale",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79099/76665631/79099_1001448361_IMG_01_0000_max_476x317.png
6 bedroom detached house for sale,"Compton Avenue, Highgate, London, N6","Exclusive freehold development opportunity with planning permission located close to Hampstead Heath. The site extends to approximately c.0.89 acres (0.36 hectares) and occupies a quiet position at the end of a private cul-de-sac. It currently comprises a large detached house extending to 11,840...",POA,yesterday,"Knight Frank - New Homes, Prime Central London Developments",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41063/83329669/41063_HAM012040870_IMG_01_0000_max_476x317.jpg
5 bedroom flat for sale,"Lennox Gardens, London","Situated over three prime floors of an elegant Grade II listed building, the property offers spacious living and entertaining space spanning an impressive 5,280 sq ft.","£24,750,000",17/05/2020,"Strutt & Parker, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/45k/44264/72394869/44264_SLN200031_IMG_01_0000_max_476x317.jpg
4 bedroom apartment for sale,"Mayfair Park Residences, London, W1","Stunning lateral space in Mayfair A stunning example of a grand Mayfair home, benefiting from lateral space across three buildings. With hotel servicing provided by the adjacent 45 Park Lane, 5.01 at Mayfair Park Residences will provide the owner with sophisticated Mayfair living on a par wit...","£24,500,000",12/05/2020,"JLL, London Residential Developments",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100183/70436646/100183_LWN38901_IMG_01_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Victoria Road, Kensington, London, W8","An exceptional low built villa for sale in the heart of Kensington, W8 A unique and substantial double fronted villa near Kensington Palace and Hyde Park. The house has been built to the highest standards and provides desirable off-street parking for two cars and a spa with swimming pool. Approx...","£24,000,000",23/01/2020,"Knight Frank, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65827/88684766/65827_SLA150165_IMG_01_0001_max_476x317.jpg
4 bedroom apartment for sale,"Chelsea Barracks, Residence 35, 8 Whistler Square, London, SW1W","Situated on the fifth floor, this beautiful four-bedroom residence offers elegant lateral living spaces, where floor to ceiling windows open up wonderful vistas of Whistler Square.","£24,000,000",31/01/2020,"Savills New Homes, Margaret Street",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48985/77143537/48985_LAD153129_IMG_01_0000_max_476x317.jpg
Detached house for sale,"Winnington Road, N2","One of the finest houses to come onto the market, approached by a magnificent carriage driveway is this ambassadorial detached residence built ten years ago, standing in its own grounds. The house features a grand central staircase in beautiful white marble with ornate balustrades. The a...","£23,000,000",25/11/2019,"Glentree Estates Ltd, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/191k/190037/66614865/190037_29291104_IMG_06_0000_max_476x317.jpg
5 bedroom flat for sale,"Eaton Square, Belgravia, SW1W","An exceptional opportunity to acquire a grand apartment of impressive proportions, occupying a superb position on the north terrace of Eaton Square. The property further benefits from a private garden (under a separate licence). ","£22,500,000",27/05/2020,"Chestertons Estate Agents , Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/32k/31608/94916549/31608_CHE200026_IMG_01_0000_max_476x317.jpg
8 bedroom terraced house for sale,"Lygon Place, London, SW1W","Set over an immaculate four floors (with passenger lift), Lygon Place has been beautifully refurbished, incorporating contemporary technology, whilst maintaining many of property's original period features including the timber flooring, cornicing and fireplaces. Arranged over a beautiful cour...","£22,500,000",12/03/2020,"Beauchamp Estates Ltd, Mayfair - Resale",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79099/78152401/79099_1022814012_IMG_01_0000_max_476x317.jpg
4 bedroom flat for sale,"St. James's House, 88 St. James's Street, London","The Clarence has been finished to the highest specification combinging its historic legacy with luxury modern features, impeccable services and facilities.","£22,500,000",02/07/2020,"Strutt & Parker, London - New Homes",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96919/81627481/96919_LNW200046_IMG_01_0000_max_476x317.jpg
6 bedroom semi-detached house for sale,"Wilton Mews, Belgravia, London, SW1X","NEW BUILD 6 bedroom house for sale An exceptional recently constructed family residence located in the heart of Belgravia, just off Belgrave Square and Eaton Square, extending close to 10,000 square feet of accommodation. EPC: C This entirely new build house has been interior desi...","£22,000,000",02/03/2020,"Knight Frank, Belgravia, covering Westminster",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94745/77865331/94745_RDR140142_IMG_01_0000_max_476x317.jpg
3 bedroom apartment for sale,"One Hyde Park, Knightsbridge","The Cloister are pleased to present this stunning three bedroom apartment located in Knightsbridge, One Hyde Park, a prestigious and much sought-after location.","£22,000,000",18/09/2019,"The Cloister, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/94223693/51305_5393_IMG_01_0000_max_476x317.jpg
3 bedroom maisonette for sale,"Meredith Street, London, E13","BOOK ONLINE TODAY 24/7 at PURPLEBRICKS.CO.UK **Offers in the Region of £350,000 ** Offered for sale is this very well presented first floor, three-bedroom Maisonette, located on a quiet tree-lined turning in Plaistow. The ground floor comprises of a wide hallway leading to a bright & airy re...","£350,000",today,"Purplebricks, covering London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/152k/151079/83391469/151079_999107-1_IMG_01_0000_max_476x317.jpg
5 bedroom mews house for sale,"Wilton Mews, London, SW1X","A wonderful family house located in the heart of Belgravia, just off Belgrave Square. This entirely new build house has been interior designed and project managed by the renowned prime central London firm, Finchatton. The property has impressive lateral space, with large reception rooms w...","£22,000,000",20/03/2020,"Beauchamp Estates Ltd, Mayfair - Resale",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79099/78330697/79099_1022978035_IMG_01_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Chester Square, Belgravia, London, SW1W","An elegant 6 bedroom stucco-fronted house for sale in Chester Square, SW1 Chester Square is a classically built stucco-fronted house that is located in the highly desirable south eastern section of the square. The house benefits from 5 double bedroom suites plus staff accommodation, grand firs...","£21,995,000",27/02/2020,"Knight Frank, Belgravia, covering Westminster",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94745/77767894/94745_BGV012073242_IMG_16_0000_max_476x317.jpg
4 bedroom house for sale,"Farm Street, Mayfair, London, W1J","A stunning freehold townhouse of 8,139 square feet with a private roof terrace, swimming pool and parking, located in one of Mayfair's most highly sought after addresses.","£21,950,000",02/07/2020,"Clifton Property Partners Ltd, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221522/94307273/221522_25Farm_IMG_00_0000_max_476x317.jpg
4 bedroom terraced house for sale,"Farm Street, Mayfair, London, W1J","4 bedroom house with freehold for sale in Mayfair W1J A magnificent 4 bedroom house on one of Mayfair's most sought after streets. Spanning in excess of 8,000 sq ft, the property benefits from freehold and parking.
EPC: B. With a total of 7 floors, this property provides the perfect backdrop fo...","£21,950,000",02/07/2020,"Knight Frank, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/94314128/65815_WER090114_IMG_01_0000_max_476x317.jpg
5 bedroom penthouse for sale,"Cheval House, 30 Montpelier Walk, London, SW7",The Penthouse with one of London's most distinguished and unique views.,"£21,000,000",07/02/2020,"Savills, Sloane Street",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48943/77299816/48943_SLH190039_IMG_01_0000_max_476x317.jpg
8 bedroom flat for sale,"Lensbury Avenue, SW6","Considered to be one of London`s most prestigious dockside developments this outstanding apartment with two points of direct lift access comprises of; eight bedroom suites, spacious reception areas, and multiple terraces with direct river views. Stretching to over 12,644 sq ft this is a truly..","£20,000,000",09/04/2020,"Douglas & Gordon, Fulham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/35k/34286/91263203/34286_X68044_2_IMG_01_0000_max_476x317.jpg
7 bedroom terraced house for sale,"Cornwall Terrace, Regent's Park, London, NW1","Development opportunity in Regents Park, NW1An extremely rare opportunity to purchase a magnificent, Grade I listed, Regency styled property in one of London's most prestigious locations.The property, spread across 9,213 sq. ft., is offered in shell condition with the benefit of Planning Per...",POA,12/09/2017,"Knight Frank, St John's Wood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65830/61745569/65830_SJW120283_IMG_08_0001_max_476x317.jpg
5 bedroom house for sale,"Cornwall Terrace, London","An extremely rare opportunity to purchase a magnificent, Grade I listed, Regency styled property in one of London’s most prestigious locations. The property, spread across 9,213 sq ft, is offered in shell condition with the benefit of Planning Permission, Listed Building and Crow...",POA,10/04/2017,"Sandfords, Regents Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45144/47838357/45144_SAN170028_IMG_16_0000_max_476x317.jpg
7 bedroom terraced house for sale,"Herbert Crescent, Knightsbridge, SW1X ","Sole Selling Agent Knightsbridge, are pleased to offer this outstanding brand new high-end development freehold house, situated in one of the most prestigious addresses in the centre of Knightsbridge. Internal area of 4,638 Sq Ft (431 Sq Meters).",POA,24/09/2019,"Knightsbridge, Estate Agents",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/112k/111955/74337697/111955_521_IMG_01_0000_max_476x317.jpg
6 bedroom house for sale,"Brook Street, London, W1K","Located in the heart of Mayfair on Brook Street this attractive family house of approximately 5,640 square feet set over six floors.","£20,000,000",23/05/2019,"Carter Jonas, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48609/71877613/48609_CHE110005_IMG_03_0000_max_476x317.jpg
5 bedroom apartment for sale,"Park Lane, Mayfair, London, W1K","A lateral flat of approximately 3,698 sq ft lateral flat on the fourth floor of a highly regarded, modern block on Park lane.","£19,950,000",24/09/2018,"Savills, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49602/83477969/49602_MAS150047_IMG_01_0000_max_476x317.jpg
5 bedroom house for sale,"Wilton Crescent, Belgravia","Situated within one of London's most elegant and exclusive crescents is this exceptional Grade II Listed, late Regency, six-storey freehold house with five bedrooms, a garden and a large roof terrace.","£19,500,000",26/05/2020,"Dexters, Chelsea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94643/73573519/94643_29022890_IMG_09_0000_max_476x317.jpg
6 bedroom house for sale,"Cannon Lane, Hampstead Village, NW3","A spectacular and award winning newly built 6 bedroom home of contemporary design, by world renowned architect Claudio Silvestrin, situated in one of Hampstead's most sought after locations. This detached property occupies an elevated site commanding superb views of the London skyline fr...","£19,500,000",04/02/2020,"TK International, Hampstead",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66289/72382461/66289_29872400_IMG_01_0000_max_476x317.jpg
6 bedroom house for sale,"Cannon Lane, London, NW3","Arranged over five floors, this stunning modern family home is a breath taking piece of architecture and design. With a swimming pool, spa, sauna and gymnasium this house has everything you desire and more.","£19,500,000",25/07/2017,"Beauchamp Estates Ltd, Mayfair - Resale",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79099/61069042/79099_1001455773_IMG_01_0001_max_476x317.png
6 bedroom detached house for sale,Belgravia SW1,Smart Move is proud to announce the sale a townhouse off belgravia Square. Comprising of Over 7000 Sq Ft. Finished by renowned craftsman and artists of true quality. The property has superb proportions with traditional high ceilings and period features throughout. This unique opportunity of Sale ...,"£19,500,000",04/02/2020,"Smart Move Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78068/89094983/78068_5709_IMG_01_0000_max_476x317.jpg
